0	 1:.0374	 2:1	 3:.00944	 4:.178	 5:.177	 6:.0588
0	 1:.0299	 2:1	 3:.0143	 4:.671	 5:.222	 6:.0373
0	 1:.112	 2:0	 3:.0381	 4:.309	 5:.17	 6:.0747
0	 1:.0364	 2:0	 3:.0177	 4:0	 5:.2	 6:.0669
0	 1:.0355	 2:1	 3:.0136	 4:.262	 5:.172	 6:.116
0	 1:.0354	 2:0	 3:.00452	 4:.21	 5:.206	 6:.122
0	 1:.0251	 2:0	 3:.0152	 4:.487	 5:.155	 6:.165
0	 1:.0324	 2:0	 3:.028	 4:.44	 5:.159	 6:.192
0	 1:.0318	 2:0	 3:.0216	 4:0	 5:.206	 6:.0375
0	 1:.0318	 2:0	 3:.0048	 4:.79	 5:.213	 6:.136
0	 1:.0277	 2:0	 3:.0124	 4:.21	 5:.146	 6:.079
0	 1:.0297	 2:0	 3:.0106	 4:.388	 5:.273	 6:.0345
0	 1:.0297	 2:0	 3:.00795	 4:.528	 5:.192	 6:.0451
0	 1:.0294	 2:0	 3:.00369	 4:.802	 5:.149	 6:.0975
0	 1:.028	 2:0	 3:.0201	 4:.262	 5:.165	 6:.134
0	 1:.0279	 2:0	 3:.0339	 4:.178	 5:.269	 6:.0905
0	 1:.0273	 2:0	 3:.00157	 4:.178	 5:.217	 6:.031
0	 1:.0262	 2:0	 3:.0329	 4:.224	 5:.17	 6:.0902
0	 1:.0261	 2:0	 3:.0219	 4:.21	 5:.178	 6:.0686
0	 1:.0545	 2:0	 3:.00909	 4:.65	 5:.153	 6:.055
0	 1:.0277	 2:0	 3:.0194	 4:.21	 5:.217	 6:.0972
0	 1:.0253	 2:0	 3:.0179	 4:.367	 5:.147	 6:.106
0	 1:.122	 2:0	 3:.0148	 4:.178	 5:.0958	 6:.0659
0	 1:.0247	 2:0	 3:.00813	 4:.178	 5:.187	 6:.0467
0	 1:.0299	 2:0	 3:.00791	 4:.461	 5:.162	 6:.0322
0	 1:.0224	 2:0	 3:.00255	 4:.487	 5:.0082	 6:.0805
0	 1:.0222	 2:0	 3:.0244	 4:.178	 5:.155	 6:.0557
0	 1:.122	 2:0	 3:.0533	 4:.178	 5:.17	 6:.106
0	 1:.0331	 2:1	 3:.00662	 4:.697	 5:.152	 6:.1
0	 1:.0207	 2:0	 3:.00314	 4:.528	 5:.235	 6:.0503
0	 1:.0205	 2:0	 3:.00304	 4:.554	 5:.171	 6:.0758
0	 1:.0194	 2:0	 3:.0101	 4:.697	 5:.162	 6:.0562
0	 1:.044	 2:0	 3:.00746	 4:.434	 5:.231	 6:.0213
0	 1:.018	 2:0	 3:.0106	 4:.21	 5:.204	 6:.0173
0	 1:.0179	 2:0	 3:.0394	 4:0	 5:.145	 6:.0452
0	 1:.0167	 2:0	 3:.00332	 4:.21	 5:.109	 6:.0545
0	 1:.0351	 2:0	 3:.012	 4:.21	 5:.113	 6:.0383
0	 1:.0165	 2:0	 3:.0568	 4:.501	 5:.203	 6:.0464
0	 1:.0251	 2:0	 3:.00337	 4:.519	 5:.154	 6:.0147
0	 1:.0161	 2:0	 3:.0392	 4:.178	 5:.193	 6:.0382
0	 1:.0155	 2:0	 3:.0101	 4:.638	 5:.156	 6:.028
0	 1:.0154	 2:0	 3:0	 4:.21	 5:.155	 6:.266
0	 1:.0125	 2:1	 3:.00444	 4:.697	 5:.187	 6:.00505
0	 1:.0143	 2:0	 3:.00696	 4:.44	 5:.192	 6:.0377
0	 1:.0142	 2:0	 3:.00325	 4:.484	 5:.144	 6:.0585
0	 1:.0137	 2:0	 3:.0669	 4:.577	 5:.115	 6:.0363
0	 1:.0136	 2:1	 3:.00489	 4:.286	 5:.158	 6:.0108
0	 1:.0134	 2:0	 3:.0106	 4:.44	 5:.123	 6:.0105
0	 1:.0134	 2:0	 3:.0133	 4:.262	 5:.142	 6:.105
0	 1:.0132	 2:0	 3:.00956	 4:.434	 5:.208	 6:.0102
0	 1:.0132	 2:0	 3:.0108	 4:.528	 5:.156	 6:.0321
0	 1:.0132	 2:0	 3:.00558	 4:.679	 5:.156	 6:.0101
0	 1:.0126	 2:0	 3:.0263	 4:.21	 5:.0584	 6:.171
0	 1:.012	 2:0	 3:.0028	 4:.487	 5:.218	 6:.0586
0	 1:.0113	 2:0	 3:.00485	 4:.501	 5:.184	 6:.00737
0	 1:.0112	 2:0	 3:.00221	 4:.878	 5:.167	 6:.161
0	 1:.0108	 2:0	 3:.0036	 4:.472	 5:.158	 6:.0439
0	 1:.0125	 2:1	 3:.00733	 4:.708	 5:.109	 6:.0391
0	 1:.122	 2:0	 3:.0155	 4:.309	 5:.156	 6:.0737
0	 1:.00926	 2:0	 3:.00321	 4:.472	 5:.146	 6:.0136
0	 1:.00879	 2:0	 3:.00722	 4:.671	 5:.157	 6:.0144
0	 1:.00838	 2:0	 3:.00954	 4:.224	 5:.154	 6:.0235
0	 1:.00799	 2:0	 3:.00325	 4:.21	 5:.139	 6:.112
0	 1:.00693	 2:0	 3:.0033	 4:.676	 5:.107	 6:.000941
0	 1:.0234	 2:0	 3:.00191	 4:.224	 5:.135	 6:.0196
0	 1:.00563	 2:0	 3:.00565	 4:0	 5:.108	 6:.0218
0	 1:.00351	 2:1	 3:.00476	 4:.286	 5:.101	 6:.0812
0	 1:.00297	 2:0	 3:.00443	 4:.21	 5:.153	 6:.08
0	 1:.00248	 2:0	 3:.00256	 4:.499	 5:.117	 6:.0783
0	 1:.00191	 2:0	 3:.00184	 4:.21	 5:.105	 6:.0502
0	 1:.00079	 2:0	 3:.00765	 4:.676	 5:.0969	 6:.0405
0	 1:.000679	 2:0	 3:.0173	 4:.178	 5:.145	 6:.0112
0	 1:.000603	 2:0	 3:.0114	 4:.434	 5:.0941	 6:0
0	 1:.0000845	 2:0	 3:.0117	 4:.638	 5:.129	 6:.0798
0	 1:0	 2:0	 3:.00523	 4:.79	 5:.0756	 6:.0529
